Equipo,Clasificacion_por_Puntos,Partidos_Jugados,Partidos_Ganados,Partidos_Perdidos,Sets_a_Favor,Sets_en_contra,Puntos_a_Favor,Puntos_en_Contra,Resultados_3-0,Resultados_3-1,Resultados_3-2,Resultados_2-3,Resultados_1-3,Resultados_0-3,Coef_Sets,Coef_Puntos,Sanciones,Posicion_final_act,Temp,0,1,Posicion_final_Ant,Eficacia_Recepcion_Fin,Eficacia_Ataques_Punto_Fin,Efectividad_Saque_Fin,Efect_Bloqueo_Fin,Coef_Efec_Puntos_Fin,Eficacia_Recepcion_Ini,Eficacia_Ataques_Punto_Ini,Efectividad_Saque_Ini,Efect_Bloqueo_Ini,Coef_Efec_Puntos_Ini
Gran_Canaria,54.0,22.0,18.0,4.0,60.0,23.0,1964.0,1710.0,9.0,7.0,2.0,2.0,2.0,0.0,261.0,1148.0,-,1,23/24,,,1,0.618,0.372,0.05228369485093637,0.522778349106171,7.720513197328986,0.6642857142857144,0.37,0.055022905108145774,0.548859543817527,8.532478933217849
Avarca_de_Menorca,50.0,22.0,17.0,5.0,54.0,29.0,1853.0,1758.0,5.0,10.0,2.0,1.0,1.0,3.0,186.0,1054.0,-,2,23/24,,,2,0.5344444444444445,0.30444444444444446,0.0440800347443733,0.29749590500238415,5.418760500178125,0.6799999999999999,0.33999999999999997,0.052334071126903366,0.3891206806225026,7.483053695786615
Libby's_La_Laguna,42.0,22.0,14.0,8.0,46.0,31.0,1719.0,1628.0,8.0,5.0,1.0,1.0,2.0,5.0,148.0,1056.0,-,3,23/24,,,3,0.6555555555555556,0.39555555555555555,0.04704397394459828,0.4225693968064718,5.620205761316872,0.6980000000000001,0.25,0.051122883200557225,0.2848170386314716,6.487172425517447
Sant_Cugat,39.0,22.0,14.0,8.0,50.0,37.0,1916.0,1829.0,6.0,3.0,5.0,2.0,4.0,2.0,135.0,1048.0,-,4,23/24,,,5,0.495,0.3225,0.048202013527176235,0.22083014978848312,7.522752192982456,0.49333333333333335,0.33499999999999996,0.05183125363858904,0.1958097454103499,4.608479986197378
Dos_Hermanas,39.0,22.0,13.0,9.0,48.0,38.0,1940.0,1808.0,5.0,5.0,3.0,3.0,3.0,3.0,126.0,1073.0,-,5,23/24,,,4,0.7100000000000001,0.2818181818181818,0.047826916895769706,0.3461252962928707,6.301312071766617,0.5860000000000001,0.27,0.039052953368449925,0.4009128552606813,4.821652421652422
Socuellamos,35.0,22.0,11.0,11.0,44.0,41.0,1901.0,1866.0,5.0,4.0,2.0,4.0,3.0,4.0,107.0,1019.0,-,6,23/24,,,6,0.588,0.323,0.049674139591656306,0.35044411162151184,8.324002415458938,0.6628571428571428,0.39142857142857146,0.033791755271379766,0.3640187604381978,7.29656234035116
Emeve,31.0,22.0,11.0,11.0,40.0,41.0,1751.0,1772.0,6.0,2.0,3.0,1.0,5.0,5.0,98.0,988.0,-,7,23/24,,,9,0.53,0.272,0.09595288747151821,0.2639174762926966,5.744935064935065,0.49142857142857144,0.3071428571428571,0.036106007218272125,0.3627063772809058,6.475850340136055
Heidelberg,30.0,22.0,11.0,11.0,43.0,46.0,1941.0,1944.0,3.0,3.0,5.0,2.0,6.0,3.0,93.0,998.0,-,8,23/24,,,11,0.72,0.24875,0.05479927065996173,0.3084551233577405,6.487337662337662,0.5116666666666667,0.25,0.04542860942826743,0.3809386973180076,3.952521244187911
Haro_Rioja,29.0,22.0,8.0,14.0,38.0,43.0,1773.0,1787.0,7.0,1.0,0.0,5.0,4.0,5.0,88.0,992.0,-,9,23/24,,,8,0.6177777777777778,0.29333333333333333,0.04043483332374933,0.2043649486167626,5.580019989565914,0.6844444444444444,0.22,0.039824542425688274,0.1315967898159679,3.5153519320185986
Sayre,27.0,22.0,9.0,13.0,32.0,46.0,1649.0,1731.0,4.0,3.0,2.0,2.0,1.0,10.0,70.0,953.0,-,10,23/24,,,7,0.6211111111111111,0.2822222222222222,0.04765731028567669,0.4038483878451954,5.373785473785474,0.526,0.316,0.045772688607663446,0.1857937814463586,5.245
Alcobendas,12.0,22.0,4.0,18.0,21.0,59.0,1617.0,1874.0,1.0,1.0,2.0,2.0,5.0,11.0,36.0,863.0,-,11,23/24,,,10,0.50375,0.26875,0.05658322373792427,0.27129469066266443,6.114403090781767,0.6333333333333333,0.3033333333333333,0.05694765451164716,0.3187564096676922,6.546632996632996
Santa_Cruz_Cuesta_Piedra,8.0,22.0,2.0,20.0,19.0,61.0,1558.0,1875.0,1.0,1.0,0.0,2.0,9.0,9.0,31.0,831.0,-,12,23/24,,,13,0.6272727272727273,0.3372727272727273,0.055388022185776986,0.2004091607317414,4.299853628561762,,,,,
Gran_Canaria,61.0,22.0,21.0,1.0,63.0,12.0,1814.0,1452.0,14.0,5.0,2.0,0.0,0.0,1.0,525.0,1249.0,-,1,22/23,,,1,0.6466666666666667,0.3422222222222222,0.05083580549370148,0.5039043970078453,6.756984969053935,0.68,0.3016666666666667,0.08244960493726378,0.2822785679928537,5.87563492063492
