Apellido,Nombre,Equipo,Partidos_Jugados,Sets_Jugados,Puntos_Jugados,Break_Points,G-P,Error_Saque,Saque_Facil,Saque_Mediopunto,Saque_Negativo,Saque_Positivo,Saque_Punto,Error_Recepcion,Recepcion_Facil,Recepcion_Vendida,Recepcion_Negativa,Recepcion_Positiva,Recepcion_Perfecta,Eficacia_Recepcion_porcentaje,Recepciones_Perfectas_porcentaje,Error_Ataque,Ataque_Facil,Ataque_Bloqueado,Ataque_Negativo,Ataque_Positivo,Ataque_Punto,Eficacia_Ataques_punto,Error_Bloqueo,Bloqueo_Facil,Contacto_Red,Bloqueo_Negativo,Bloqueo_Positivo,Bloqueo_Punto,Temp,Efectividad_Saque_porcentaje,Efectividad_Bloqueo_porcentaje,Coef_Efec_Puntos,Coef_jugado,Temp_prox,Equipo_prox
Akamere Ogochukwu,Jessica,Emeve,10,14,9,4,4,3,0,0,6,1,1,0,0,0,0,0,0,0.0,0.0,2,0,0,6,2,6,0.38,2,0,0,0,0,2,24/25,0.09090909090909091,0.5,0.9,0.0,25/26,
Alvarez del Burgo,María Alejandra,Gran_Canaria,11,29,15,5,2,9,1,6,54,28,2,0,0,0,1,0,0,0.0,0.0,4,0,0,1,7,10,0.45,2,0,0,0,3,3,24/25,0.02,0.375,1.3636363636363635,0.0,25/26,
Amaral Antunes,Marcella,Avarca_de_Menorca,11,44,152,60,112,9,1,6,87,22,4,2,0,0,2,1,0,0.2,0.0,13,2,16,51,45,124,0.49,12,1,0,4,5,24,24/25,0.031007751937984496,0.5217391304347826,13.818181818181818,0.0,25/26,
Aparecida Lopes,Ana Cecilia,Sant_Cugat,11,39,135,56,59,9,13,5,64,17,3,22,33,17,70,85,88,0.55,0.28,21,9,24,124,34,118,0.36,18,1,0,3,6,14,24/25,0.02702702702702703,0.3333333333333333,12.272727272727273,0.0,25/26,
Araco Serrano,Silvia,Socuellamos,11,45,23,15,-5,24,7,3,51,32,9,0,0,0,0,0,0,0.0,0.0,3,1,1,12,1,4,0.18,9,6,0,0,7,10,24/25,0.07142857142857142,0.3125,2.090909090909091,0.0,25/26,
Aranda,Patricia,Heidelberg,11,41,44,23,29,12,5,4,93,34,8,0,0,0,1,0,0,0.0,0.0,2,1,1,9,12,26,0.51,8,5,0,0,2,10,24/25,0.05128205128205128,0.4,4.0,0.0,25/26,
Araujo Almeida Holanda Moura,Julia,Emeve,3,9,12,3,-7,7,1,1,4,5,1,1,0,7,9,18,16,0.67,0.31,7,0,4,12,7,10,0.25,3,2,1,0,1,1,24/25,0.05263157894736842,0.14285714285714285,4.0,0.0,25/26,
Arocha Ruiz,Andrea,Gran_Canaria,11,42,0,0,-18,0,0,0,0,0,0,18,5,10,68,89,118,0.67,0.38,0,0,0,0,0,0,0.0,0,0,0,0,0,0,24/25,,0.0,0.0,0.0,25/26,
Arredondo,Lisbet,Libby's_La_Laguna,9,24,21,9,5,1,0,1,39,11,1,10,0,7,23,30,23,0.57,0.25,5,0,0,46,24,15,0.17,1,0,0,0,0,5,24/25,0.018867924528301886,0.8333333333333334,2.3333333333333335,0.0,25/26,
Banguero Isajar,Wanda,Sayre,11,38,83,31,19,7,0,7,71,18,1,4,0,6,14,10,10,0.45,0.23,25,0,28,97,46,71,0.27,7,0,0,0,0,11,24/25,0.009615384615384616,0.6111111111111112,7.545454545454546,0.0,25/26,
Barbero,Felicitas,Socuellamos,5,7,5,1,-4,1,0,1,5,1,0,4,0,3,7,8,6,0.5,0.21,2,0,2,9,4,5,0.23,0,0,0,0,0,0,24/25,0.0,0.0,1.0,0.0,25/26,
Barón Barceló,Isabel,Andalucía,11,46,0,0,-16,0,0,0,0,0,0,16,2,10,60,54,96,0.63,0.4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,24/25,,0.0,0.0,0.0,25/26,
Barrasa García,María,Gran_Canaria,5,17,8,3,2,3,2,2,38,6,3,2,0,0,0,0,0,0.0,0.0,0,0,1,1,2,5,0.56,1,0,0,0,1,0,24/25,0.05555555555555555,0.0,1.6,0.0,25/26,
Benedito,Renata,Socuellamos,11,47,109,39,80,4,12,4,100,38,9,2,0,0,1,1,1,0.4,0.2,10,8,13,43,29,84,0.45,22,12,0,1,24,16,24/25,0.05389221556886228,0.21333333333333335,9.909090909090908,0.0,25/26,
